K,normalized_K,inverse_K,alpha,seed
193,14.992232467513665,0.00012034987429069696,0.3,333
109,8.4671157459015,0.0008082548969411847,0.3,334
37,2.8741585559482155,0.029623128612181075,0.3,335
5,0.38839980485786696,23.39214190570292,0.3,336
129,10.020714965332967,0.0004609682037037756,0.3,337
61,4.738477619265977,0.005595907851524272,0.3,338
70,5.437597268010137,0.0035370663311991035,0.3,339
70,5.437597268010137,0.0035370663311991035,0.3,340
112,8.70015562881622,0.0007383176694519603,0.3,341
103,8.001035980072059,0.0009761410768775173,0.3,342
11,0.8544795706873073,1.689122137575541,0.3,343
75,5.825997072868004,0.002810384833177332,0.3,344
57,4.427757775379683,0.007015422297439552,0.3,345
103,8.001035980072059,0.0009761410768775173,0.3,346
129,10.020714965332967,0.0004609682037037756,0.3,347
102,7.923356019100486,0.001008407572896479,0.3,348
142,11.03055445796342,0.0003347152679650876,0.3,349
12,0.9321595316588807,1.2638606260652467,0.3,350
46,3.573278204692376,0.014336525078071007,0.3,351
98,7.612636175214192,0.0011522580529628008,0.3,352
72,5.592957189953284,0.0032200430864273606,0.3,353
135,10.486794731162407,0.0003961479772003406,0.3,354
32,2.4857587510903483,0.048062173839373494,0.3,355
82,6.369756799669018,0.0020873270267047347,0.3,356
52,4.0393579705218166,0.00952705909047003,0.3,357
80,6.214396877725871,0.002266400797662488,0.3,358
51,3.961678009550243,0.010164111423725381,0.3,359
111,8.622475667844647,0.0007607233409183191,0.3,360
50,3.8839980485786696,0.01085767046637962,0.3,361
118,9.16623539464566,0.000620435510556916,0.3,362
82,6.369756799669018,0.0020873270267047347,0.3,363
33,2.563438712061922,0.04337673621641649,0.3,364
26,2.0196789852609083,0.09602673833340399,0.3,365
110,8.544795706873073,0.0007840210452378777,0.3,366
198,15.380632272371532,0.00011051452722307095,0.3,367
111,8.622475667844647,0.0007607233409183191,0.3,368
5,0.38839980485786696,23.39214190570292,0.3,369
11,0.8544795706873073,1.689122137575541,0.3,370
71,5.51527722898171,0.003373718494643336,0.3,371
91,7.068876448413178,0.001475135891446316,0.3,372
84,6.525116721612164,0.001926219244328931,0.3,373
88,6.835836565498458,0.0016495333374761136,0.3,374
66,5.126877424123844,0.004303517293805413,0.3,375
41,3.184878399834509,0.021038938071678188,0.3,376
163,12.661833638366463,0.00021135441437515178,0.3,377
81,6.292076838697445,0.002174469271128354,0.3,378
183,14.21543285779793,0.00014370317774376262,0.3,379
40,3.1071984388629357,0.022843888579788002,0.3,380
72,5.592957189953284,0.0032200430864273606,0.3,381
60,4.6607976582944035,0.005912881422789758,0.3,382
36,2.796478594976642,0.03245600052926631,0.3,383
152,11.807354067679155,0.00026678293402167426,0.3,384
129,10.020714965332967,0.0004609682037037756,0.3,385
51,3.961678009550243,0.010164111423725381,0.3,386
90,6.991196487441605,0.0015304822818522383,0.3,387
72,5.592957189953284,0.0032200430864273606,0.3,388
74,5.748317111896431,0.002938986595097844,0.3,389
70,5.437597268010137,0.0035370663311991035,0.3,390
191,14.836872545570518,0.0001246021243905935,0.3,391
71,5.51527722898171,0.003373718494643336,0.3,392
127,9.86535504338982,0.00048561370452460405,0.3,393
21,1.631279180403041,0.1956916771052247,0.3,394
103,8.001035980072059,0.0009761410768775173,0.3,395
57,4.427757775379683,0.007015422297439552,0.3,396
50,3.8839980485786696,0.01085767046637962,0.3,397
26,2.0196789852609083,0.09602673833340399,0.3,398
77,5.981356994811151,0.002574349972076794,0.3,399
41,3.184878399834509,0.021038938071678188,0.3,400
