K,normalized_K,inverse_K,alpha,thetas,weights,seed
97,7.5349562142426185,0.0011923329801384107,0.3,"[0, 3, 10]","[1, 1, 1]",34
26,2.0196789852609083,0.09602673833340399,0.3,[0],[1],35
61,4.738477619265977,0.005595907851524272,0.3,[3],[1],35
150,11.651994145736008,0.000278825490038823,0.3,[10],[1],35
61,4.738477619265977,0.005595907851524272,0.3,"[0, 3, 10]","[1, 1, 1]",35
6,0.46607976582944033,12.738916855303339,0.3,[0],[1],36
58,4.505437736351257,0.006620285098389965,0.3,[3],[1],36
148,11.496634223792862,0.0002915844007986721,0.3,[10],[1],36
43,3.340238321777656,0.017950442230363003,0.3,"[0, 3, 10]","[1, 1, 1]",36
10,0.7767996097157339,2.3207944168063888,0.3,[0],[1],37
50,3.8839980485786696,0.01085767046637962,0.3,[3],[1],37
185,14.370792779741077,0.00013858968563740565,0.3,[10],[1],37
7,0.5437597268010137,7.620378404879155,0.3,"[0, 3, 10]","[1, 1, 1]",37
2,0.15535992194314677,496.0628287400623,0.3,[0],[1],38
57,4.427757775379683,0.007015422297439552,0.3,[3],[1],38
186,14.448472740712651,0.00013612154098292396,0.3,[10],[1],38
88,6.835836565498458,0.0016495333374761136,0.3,"[0, 3, 10]","[1, 1, 1]",38
1,0.07767996097157338,5000.0,0.3,[0],[1],39
110,8.544795706873073,0.0007840210452378777,0.3,[3],[1],39
175,13.593993170025342,0.00016679249634454896,0.3,[10],[1],39
137,10.642154653105555,0.00037719689912476997,0.3,"[0, 3, 10]","[1, 1, 1]",39
19,1.4759192584598944,0.27318572443819455,0.3,[0],[1],40
76,5.903677033839577,0.002689003474612981,0.3,[3],[1],40
144,11.185914379906569,0.0003194687364236075,0.3,[10],[1],40
9,0.6991196487441605,3.2973241205016186,0.3,"[0, 3, 10]","[1, 1, 1]",40
37,2.8741585559482155,0.029623128612181075,0.3,[0],[1],41
99,7.690316136185766,0.0011139166333402168,0.3,[3],[1],41
200,15.535992194314678,0.00010687349666729347,0.3,[10],[1],41
191,14.836872545570518,0.0001246021243905935,0.3,"[0, 3, 10]","[1, 1, 1]",41
27,2.0973589462324815,0.0846754390421514,0.3,[0],[1],42
84,6.525116721612164,0.001926219244328931,0.3,[3],[1],42
189,14.68151262362737,0.00012905177742009435,0.3,[10],[1],42
97,7.5349562142426185,0.0011923329801384107,0.3,"[0, 3, 10]","[1, 1, 1]",42
3,0.23303988291472016,128.40023599085825,0.3,[0],[1],43
82,6.369756799669018,0.0020873270267047347,0.3,[3],[1],43
191,14.836872545570518,0.0001246021243905935,0.3,[10],[1],43
102,7.923356019100486,0.001008407572896479,0.3,"[0, 3, 10]","[1, 1, 1]",43
25,1.9419990242893348,0.10943846058730855,0.3,[0],[1],44
97,7.5349562142426185,0.0011923329801384107,0.3,[3],[1],44
153,11.885034028650729,0.00026101486108874345,0.3,[10],[1],44
149,11.574314184764434,0.0002851121836221387,0.3,"[0, 3, 10]","[1, 1, 1]",44
1,0.07767996097157338,5000.0,0.3,[0],[1],45
72,5.592957189953284,0.0032200430864273606,0.3,[3],[1],45
