K,normalized_K,inverse_K,alpha,seed
284,11.056746148323326,0.0003320796052984986,0.3,54
46,1.7908814183903978,0.14336525078071008,0.3,55
120,4.6718645697140815,0.005866321369187303,0.3,56
351,13.665203866413687,0.00016391283033277796,0.3,57
341,13.275881818937515,0.00018049094038904309,0.3,58
242,9.421593548923397,0.000566133408892134,0.3,59
197,7.6696443352806165,0.0011239558457947303,0.3,60
322,12.536169928732784,0.00021849949221188148,0.3,61
119,4.6329323649664635,0.006032261124789285,0.3,62
391,15.222492056318382,0.0001143880912150573,0.3,63
227,8.837610477709138,0.0007007296276658384,0.3,64
438,17.052305679456396,7.835312144660283e-05,0.3,65
4,0.15572881899046936,492.15666011518476,0.3,66
299,11.640729219537587,0.00027972591937697384,0.3,67
80,3.1145763798093875,0.02266400797662488,0.3,68
317,12.341508904994699,0.00023020025318081465,0.3,69
171,6.657407011842566,0.0018015637571335346,0.3,70
114,4.438271341228377,0.0069601804593479415,0.3,71
261,10.161305439128126,0.0004400496161940247,0.3,72
344,13.392678433180366,0.00017529728740588868,0.3,73
273,10.628491896099534,0.00037881559316058414,0.3,74
294,11.4460681957995,0.00029590041184558095,0.3,75
89,3.4649662225379436,0.015885588760326693,0.3,76
271,10.5506274866043,0.0003882150503039164,0.3,77
108,4.204678112742673,0.008334716254554429,0.3,78
192,7.47498331154253,0.0012245200728498286,0.3,79
293,11.407135991051883,0.0002992801662833386,0.3,80
99,3.8542882700141172,0.01113916633340217,0.3,81
44,1.713017008895163,0.16626254195115997,0.3,82
291,11.329271581556647,0.00030619167205891046,0.3,83
188,7.31925449255206,0.0013135416261082894,0.3,84
153,5.956627326385454,0.0026101486108874345,0.3,85
442,17.208034498446867,7.60143827264562e-05,0.3,86
164,6.384881578609244,0.0020708906987454683,0.3,87
347,13.50947504742322,0.0001702962514345065,0.3,88
225,8.759746068213902,0.0007217081516101965,0.3,89
207,8.05896638275679,0.0009529472317884671,0.3,90
210,8.175762996999643,0.0009083203032825682,0.3,91
404,15.728610718037407,0.0001025727786778857,0.3,92
286,11.13461055781856,0.0003244017790362529,0.3,93
115,4.4772035459759945,0.00676047487598866,0.3,94
161,6.268084964366392,0.0022023368770327234,0.3,95
228,8.876542682456755,0.0006905373614410892,0.3,96
285,11.095678353070943,0.0003282115078202768,0.3,97
35,1.362627166166607,0.3565139460441746,0.3,98
93,3.620695041528413,0.013720191586281086,0.3,99
166,6.462745988104479,0.0019888851763530343,0.3,100
299,11.640729219537587,0.00027972591937697384,0.3,101
166,6.462745988104479,0.0019888851763530343,0.3,102
188,7.31925449255206,0.0013135416261082894,0.3,103
9,0.3503898427285561,32.97324120501619,0.3,104
157,6.112356145375923,0.002394994367050882,0.3,105
372,14.482780166113653,0.00013504967334489114,0.3,106
251,9.771983391651954,0.0005012537092542829,0.3,107
53,2.063406851623719,0.08940952184894786,0.3,108
43,1.6740848041475458,0.17950442230363003,0.3,109
26,1.0122373234380508,0.9602673833340398,0.3,110
114,4.438271341228377,0.0069601804593479415,0.3,111
77,2.9977797655665355,0.02574349972076794,0.3,112
333,12.964424180956575,0.00019535411299533261,0.3,113
126,4.905457798199786,0.004985800007836652,0.3,114
344,13.392678433180366,0.00017529728740588868,0.3,115
172,6.696339216590183,0.0017668859391372048,0.3,116
68,2.6473899228379794,0.03895892474602174,0.3,117
69,2.686322127585597,0.037108468860458876,0.3,118
203,7.903237563766321,0.001016989677014271,0.3,119
